qid,provision_id,domain,quality_tier,question_word_count,content_overlap,title_content_overlap,question
synth_cov_v3_a172d6e08c11,other_578_s109,other,coverage,61,0.0488,0.6667,পুরো পরিবার আমার আয়ের ওপর নির্ভরশীল। সমস্যাটি প্রায় দুই বছর ধরে চলছে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। ঘটনাটি ঘটেছে গত রমজান মাসে। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। সময় পেরিয়ে যাওয়া of legal proceedings নিয়ে আইনে কী বলা আছে?
synth_cov_v3_c7c0f1826579,money_recovery_46_s17,money_recovery,coverage,26,0.0588,0.5,কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। Ambiguous দলিলs ক্ষেত্রে আমার কী করা উচিত?
synth_cov_v3_c4301d88320a,other_706_s14,other,coverage,109,0.037,1.0,"বাবার মৃত্যুর পর পরিবারে সমস্যা দেখা দেয়। ঘটনাটি ঘটেছে গত রমজান মাসে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। ঘটনাটি গত বছরের। কোষাধ্যক্ষ বিষয়ে নিয়ম কী?"
synth_cov_v3_b8b1fb23b9ee,other_877_s8,other,coverage,89,0.1333,1.0,"এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আমি জানি না কোথা থেকে শুরু করব। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। ঘটনাটি প্রায় ছয় মাস আগের। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। কমিশনের বৈঠকে সদস্যগণের যোগদানের নিমিত্ত প্রাপ্য ভাতা সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব? কী করা উচিত জানালে কৃতজ্ঞ থাকব।"
synth_cov_v3_9c5c94198e5f,other_1277_s17,other,coverage,62,0.0625,0.6667,"সংসারে আমিই একমাত্র উপার্জনক্ষম। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। আমি জানি না কোথা থেকে শুরু করব। আশপাশের লোকজন নানা রকম পরামর্শ দিচ্ছে, কোনটা ঠিক বুঝতে পারছি না। ঘটনাটি প্রায় ছয় মাস আগের। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। বিধি প্রণয়নের নিয়ে আইনে কী বলা আছে?"
synth_cov_v3_07885606e7f0,other_1204_s22,other,coverage,50,0.1351,1.0,"আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। শুরুতে বিষয়টিকে তেমন গুরুত্ব দিইনি। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। এয়ার স্পেস নিয়ন্ত্রণ নিয়ে আইনে কী বলা আছে?"
synth_cov_v3_772385c3a555,other_32_s57,other,coverage,56,0.1,1.0,"দীর্ঘদিন বিদেশে ছিলাম, সম্প্রতি দেশে ফিরেছি। সমস্যাটি প্রায় দুই বছর ধরে চলছে। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। আশপাশের লোকজন নানা রকম পরামর্শ দিচ্ছে, কোনটা ঠিক বুঝতে পারছি না। Every amount due deemed a demand বিষয়ে নিয়ম কী?"
synth_cov_v3_39ef25e1e6cf,other_1179_s27,other,coverage,106,0.087,0.8,"আমরা তিন ভাইবোন। আমি জানি না কোথা থেকে শুরু করব। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। ঘটনাটি প্রায় ছয় মাস আগের। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। কতিপয় ইমারত ও জলাশয়ের ক্ষেত্রে বিষয়ে কোন আইন প্রযোজ্য হবে?"
synth_cov_v3_467d422c9a03,constitutional_957_s53,constitutional,coverage,64,0.102,1.0,"বিষয়টি খুলে বলি। ঘটনাটি গত বছরের। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। ঘটনাটি ঘটেছে গত রমজান মাসে। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। অসামর্থ্যের কারণে রাষ্ট্রপতির অপসারণ নিয়ে আইনে কী বলা আছে? একটু পরামর্শ দিলে ভালো হয়।"
synth_cov_v3_6f71fc2bcfe6,other_1016_s47,other,coverage,107,0.0494,1.0,"ঘটনাটি গত বছরের। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। আমি জানি না কোথা থেকে শুরু করব। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। শুরুতে বিষয়টিকে তেমন গুরুত্ব দিইনি। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। বিশ্ববিদ্যালয় বিধি প্রণয়ন নিয়ে আইনে কী বলা আছে? আমাকে একটু পথ বাতলে দিন।"
