qid,annotator,n_words,question_bn,paraphrase,pii_removed,notes,merged_from
ajke_0146_01,Iftiaq,127,"প্রশ্ন: আমার ভাই বিশ্ববিদ্যালয়ের প্রথম বর্ষের শিক্ষার্থী। আমাদের বাবা নেই। মা, আমি আর ভাই থাকি। খুব সম্প্রতি মায়ের গায়ে হাত তুলেছে ভাই। বিশ্ববিদ্যালয়ে ভর্তির পর থেকে সে আত্মহত্যার চেষ্টাও করেছিল কয়েকবার। আমরা তার বন্ধুবান্ধবের সঙ্গে যোগাযোগ রাখার জন্য তাদের বাসায় দাওয়াত করি। সেখানে মায়ের সঙ্গে তার কথা-কাটাকাটি হয়। বন্ধুরা চলে যাওয়ার পর মা কথা বলতে গেলে একপর্যায়ে সে মাকে মারধর করে। আমি বাধা দিতে গেলে সে আমাকেও মারধর করে বাসা থেকে বের হয়ে যেতে বলে। সে কথায় কথায় বলে, ‘বাবা যা কিছু রেখে গেছে—সব আমার’। সম্পত্তি নিয়ে আমার কোনো আগ্রহ নেই। কিন্তু আমার ভাইকে এভাবে দেখতে চাই না। তবে সে সম্প্রতি কাউন্সেলিং নেওয়া শুরু করেছে। কিন্তু মায়ের গায়ে হাত তোলার পর থেকে আমি বেশি ভয়ে আছি। আইনগতভাবে কোনো ব্যবস্থা নিলে কি এ সমস্যা থেকে সমাধান পাওয়া সম্ভব?","আমার ছোট ভাই ভার্সিটিতে ফার্স্ট ইয়ারে পড়ে। আমাদের আব্বা মারা গেছেন, তাই আম্মা, আমি আর আমার ভাই একসাথে থাকি। ইদানীং ভাইটা আম্মার ওপর হাত তুলেছে। ভার্সিটিতে ওঠার পর থেকেই ও কয়েকবার আত্মহত্যার চেষ্টা করেছিল। ওর বন্ধুদের সাথে যাতে যোগাযোগ ভালো থাকে, সেজন্য আমরা ওদের বাসায় দাওয়াত দিয়েছিলাম। কিন্তু সেখানে আম্মার সাথে ওর কথা-কাটাকাটি লেগে যায়। ওর বন্ধুরা চলে যাওয়ার পর আম্মা ওর সাথে কথা বলতে গেলে হঠাৎ ও আম্মাকে মারধর শুরু করে। আমি থামাতে গেলে ও আমাকেও গায়ে হাত তোলে আর বাসা থেকে বের হয়ে যেতে বলে। কথায় কথায় সে দাবি করে, আব্বা যা রেখে গেছেন সবকিছুই নাকি একা ওর। সম্পত্তির প্রতি আমার কোনো লোভ বা আগ্রহ নেই, ভাইকে নিয়েই বেশি কষ্ট হচ্ছে। সম্প্রতি ও অবশ্য মানসিক কাউন্সেলিং নেওয়া শুরু করেছে, কিন্তু আম্মাকে মারার পর থেকে আমি খুব আতঙ্কে আছি। এ ব্যাপারে কোনো আইনি পদক্ষেপ নিলে কি কোনো সুরাহা হতে পারে?",no,,
ajke_0165_01,Iftiaq,86,"আমি কাবিনে ৫ লাখ টাকা মোহরানা উল্লেখ করে বিয়ে করি। তবে আমি জানতাম, তাঁর আগের স্ত্রীকে তিনি ডিভোর্স দিয়েছেন। এমনকি তিনি আমাকে একটা ডিভোর্স পেপারও দেখিয়েছিলেন। বিয়েটা কাজি অফিসে হয়। আমার পরিবারের কেউ বিষয়টি জানেন না। পরে আমি পরিবারকে জানাতে চেয়েছিলাম। কিন্তু বিয়ের এক মাসের মাথায় জানতে পারি, তাঁর আরও তিন স্ত্রী আছেন। এখন আমি তাঁকে ডিভোর্স দেওয়ার সিদ্ধান্ত নিয়েছি। সে ক্ষেত্রে কি কাবিনের টাকা আমি পাব? আর আমার পরিবার এখনো বিষয়টি সম্পর্কে কিছু জানে না। আসলে কীভাবে আমি তাঁকে ডিভোর্স দিলে কাবিনের টাকাটা পেতে পারি","বিয়ের সময় আমার দেনমোহর ধার্য হয়েছিল ৫ লাখ টাকা। বিয়ের আগে আমাকে জানানো হয়েছিল যে আগের বউকে তিনি তালাক দিয়েছেন, এমনকি একটা তালাকের কাগজপত্রও আমাকে দেখিয়েছিলেন। কাজি অফিসে গিয়ে আমাদের বিয়ে হয়, যার ব্যাপারে আমার পরিবারের কেউ কিছু জানত না। পরে ভেবেছিলাম পরিবারকে জানাব, কিন্তু বিয়ের এক মাস যেতে না যেতেই জানতে পারি যে তার ঘরে আরও তিনজন স্ত্রী রয়েছে। এ পরিস্থিতিতে আমি তাকে তালাক দেওয়ার সিদ্ধান্ত নিয়েছি। এখন আমি যদি ডিভোর্স দিই, তাহলে কি দেনমোহরের টাকা পাব? আমার বাসার কেউ এখনো এসবের কিছুই জানে না। আসলে কীভাবে আমি তাঁকে ডিভোর্স দিলে দেনমোহরের সম্পূর্ণ টাকাটা আদায় করতে পারব?",no,,
ajke_0173_01,Iftiaq,34,"সে যে কারণ দেখিয়েছে, তা মিথ্যা ও বানোয়াট। এর কোনো প্রমাণ তার কাছে নেই। সে বলছে, তার মা আমাকে মানবে না। অথচ বিয়ের সময় তার মাসহ পরিবারের সবাই ছিলেন। আমি এখন কী করতে পারি?","ও যেসব কারণের কথা বলছে সেগুলো সম্পূর্ণ মিথ্যা এবং মনগড়া, কোনো প্রমাণ ওর কাছে নেই। এখন দাবি করছে ওর মা নাকি আমাকে মেনে নেবেন না, অথচ বিয়ের দিনে ওর মা এবং পরিবারের প্রত্যেকেই সেখানে উপস্থিত ছিলেন। এই অবস্থায় আমার করণীয় কী হতে পারে?",no,,
ajke_0181_01,Iftiaq,60,আমার দাদা-দাদি মারা গেছেন প্রায় ১৫ বছর আগে। চাচা-জ্যাঠারা বেশি বেশি জায়গাজমি ভোগ করছেন। আমার বাবার উপযুক্ত ছেলে নেই। আমাদের ভাগ তাঁদের তুলনায় অর্ধেক। দুই দিন পরপর চাচা-জ্যাঠারা তাঁদের ছেলেদের নিয়ে বাবার দিকে তেড়ে আসেন। আমরা চার বোন। আমাদের বিয়ের সম্বন্ধ এলে বিয়ে ভেঙে দেওয়া হয়। তাঁরা জমি ভাগও করতে চান না। আমাদের আর্থিক অবস্থা খারাপ। আমরা কী করতে পারি?,"আমাদের দাদা-দাদি মারা গিয়েছেন প্রায় ১৫ বছর পেরিয়ে গেছে। চাচা আর জ্যাঠারা জোর করে বেশি জমিজমা দখল করে খাচ্ছেন। বাবার কোনো ছেলে সন্তান নেই বলে আমাদের ভাগ নাকি তাঁদের চেয়ে অর্ধেক। প্রায়ই চাচা-জ্যাঠারা তাঁদের ছেলেদের সাথে নিয়ে এসে আব্বাকে মারতে আসেন। আমরা চার বোন, বিয়ের কোনো প্রস্তাব এলে তাঁরা তা ভেঙে দেন। জমিজমার কোনো সুষ্ঠু বণ্টনও করতে চান না। আমাদের আর্থিক অবস্থাও খুব শোচনীয়। এখন আমরা কী ব্যবস্থা নিতে পারি?",no,,
ajke_0200_01,Iftiaq,76,"প্রশ্ন: আমার বয়স ৪০ বছর। স্বামী দুই বছর আগে মারা গেছে। দুই সন্তান—একটি ছেলে ও একটি মেয়ে। মেয়ের বয়স ২৫ আর ছেলের ১৪ বছর। স্বামী মারা যাওয়ার আগে তার বাবার সম্পত্তি ভাগাভাগি হয়নি। সম্প্রতি আমার দেবর ও ভাশুরেরা সম্পত্তি ভাগাভাগি করেছেন, যেখানে আমি উপস্থিত ছিলাম না। তাঁরা এমনভাবে সব করেছেন, যা স্বামীর অবর্তমানে আমি কিংবা আমার সন্তানেরা সম্পত্তির কোনো ভাগই পাব না। এ ক্ষেত্রে আমি কী করতে পারি। কেস করতে চাইলে সেটা কীভাবে করলে সুবিধা হবে?","আমার বয়স ৪০ বছর, বছর দুয়েক আগে স্বামী মারা গেছেন। আমাদের একটি ছেলে ও একটি মেয়ে আছে—মেয়ের বয়স ২৫ বছর এবং ছেলের বয়স ১৪ বছর। আমার স্বামী বেঁচে থাকতে তাঁর পৈতৃক সম্পত্তি বাটোয়ারা করা হয়নি। কিছুদিন আগে আমার দেবর আর ভাশুর মিলে নিজেদের মধ্যে জমি ভাগ করে নিয়েছেন, যেখানে আমাকে ডাকাও হয়নি। তাঁরা এমন চক্রান্ত করেছেন যাতে আমার স্বামীর মৃত্যুর পর আমি বা আমার ছেলেমেয়েরা সম্পত্তির কোনো অংশই না পাই। এখন আমি কী করতে পারি? যদি মামলা করতে হয় তবে কীভাবে মামলা করলে আমাদের সুবিধা হবে?",no,,
dail_0621_02,Iftiaq,11,"Further, is the ministry under any obligation to provide the data?",তাছাড়া মন্ত্রণালয় কি এই তথ্যগুলো সরবরাহ করতে আইনগতভাবে বাধ্য?,no,Original question was in English; translated and paraphrased into casual Bangla.,
lawy_0241_01,Iftiaq,8,ভূমি অধিগ্রহণে কোনো প্রশ্ন উত্থাপিত হলে কী করবেন?,সরকার জমি অধিগ্রহণ করার সময় কোনো বিরোধ বা আপত্তি দেখা দিলে কী পদক্ষেপ নেওয়া উচিত?,no,,
lawy_0299_01,Iftiaq,8,জমি-জমা সহায় সম্পত্তি রক্ষায় কিভাবে নিষেধাজ্ঞা জারি করবেন?,নিজের জমিজমা ও স্থাবর সম্পত্তি বেদখল হওয়া থেকে বাঁচাতে কীভাবে নিষেধাজ্ঞা চাইতে হয়?,no,,
lawy_0477_01,Iftiaq,8,"নাবালক ও পাগলের সম্পত্তি ক্রয়-বিক্রয়, আইন কি বলে?",নাবালক শিশু কিংবা মানসিক ভারসাম্যহীন ব্যক্তির জমিজমা কেনাবেচা করার ব্যাপারে আইনে কী নিয়ম রয়েছে?,no,,
prot_0000_03,Iftiaq,18,একটি কো-অপারেটিভ সংস্থার কাছে আমার অনেক টাকা আটকে আছে। আমি কোনোভাবে টাকা তুলতে পারিনি। কী করব? ইব্রাহীম খলিল,একটা সমবায় সমিতিতে আমার বেশ কিছু টাকা আটকে পড়েছে। কোনোভাবেই টাকাগুলো ফেরত পাচ্ছি না। এখন আমার কী করা উচিত?,yes,,
