qid,band,lawyer_rank,lawyer_cosine,lang_tag,labelled_act,labelled_provision,question,lawyer_answer
prot_0013_02,suspect,,0.3632,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমার বাবা-চাচারা চার ভাই, এক বোন। মেজো চাচা নিঃসন্তান এবং আমার বাবা মেজো চাচার আগে মারা গেছেন। আমার অন্য দুই কাকা ও ফ",আমার বয়স
prot_0041_02,suspect,,0.413,mixed,"বাংলাদেশ ঋণ সালিসি আইন, ১৯৮৯",দস্ত্মখত বা টিপসহিযুক্ত অলিখিত স্ট্যাম্প কাগজ গ্রহণ নিষিদ্ধ,আমি একজনকে খুব ভালোবাসি। দীর্ঘদিন ধরে আমাদের সম্পর্ক চলছে। নানা বাধা-বিপত্তিও আমাদের আলাদা করতে পারেনি। কিছুদিন আগে আমার,হুমকি দিয়ে সাদা কাগজে স্বাক্ষরের বিষয়টি থানায় জানিয়ে রাখলে পরবর্তী সময়ে আপনি তা প্রতিকূল পরিস্থিতিতে ব্যবহার করে সু
prot_0000_03,suspect,,0.4284,bengali,"সমবায় সমিতি আইন, ২০০১",নিবন্ধক কর্তৃক বিবাদ নিষ্পত্তির পদ্ধতি,একটি কো-অপারেটিভ সংস্থার কাছে আমার অনেক টাকা আটকে আছে। আমি কোনোভাবে টাকা তুলতে পারিনি। কী করব? ইব্রাহীম খলিল,আপনি দেওয়ানি আইনের আওতায় মানি মোকদ্দমা করতে পারেন। তবে মামলার আগে বাংলাদেশ ব্যাংককে উক্ত কো-অপারেটিভের বিরুদ্ধে ব্যবস্
prot_0048_04,suspect,,0.435,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বাবা মারা গেছেন ২০০৫ সালে। আমার দাদা-দাদি এখনো জীবিত আছেন। আমার বাবা কিছু সম্পত্তি কিনে নিজ নামে নিবন্ধন করেছিলেন। ,আপনার দাদি আপনার বাবার সম্পত্তির ছয় ভাগের এক ভাগ পাবেন এবং ওই সম্পত্তির আট ভাগের এক ভাগ পাবেন আপনার মা। বাকি অংশ পাবেন আ
prot_0082_01,suspect,,0.4358,english,"1The Penal Code, 1860",False charge of offence made with intent to injure,আমি একজন ছাত্র। বয়স ২৫ বছর। ছয় মাস আগে আমাদের প্রতিবেশী ২১ বছর বয়সী অবিবাহিত বাকপ্রতিবন্ধী একটি মেয়ে গর্ভপাত করে। মেয়েটি,"যদি ধরে নেওয়া যায় যে বাকপ্রতিবন্ধী মেয়েটির সঙ্গে আপনার দৈহিক সম্পর্ক ছিল, সে ক্ষেত্রে মেয়েটি যেহেতু সাবালিকা, তাই মনে কর"
prot_0072_02,suspect,,0.4371,english,"The Registration Act, 1908",Registering officers to allow inspection of certain books an,"আমার বয়স যখন দশ মাস, তখন আমার বাবা মারা যান। আমি নবম শ্রেণীতে ওঠার পর থেকে আমার বাবার রেখে যাওয়া সম্পত্তি দেখাশোনা করছি।","সাধারণত জমির পরিমাণ নির্ধারিত হয় দলিলের মাধ্যমে অথবা দখলের মাধ্যমে। যে পরিমাণ সম্পত্তি আপনার দখলে আছে, তা দিয়ে আপনি বাবা"
prot_0135_02,suspect,,0.4449,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,এক ভাই ও চার বোন রেখে আমার মা মারা যান। আমার বাবা জীবিত আছেন। বাবা আরেকটি বিয়ে করেছেন। ওই পক্ষে দুই ভাই ও এক বোন আছে। প্,আপনার মায়ের সম্পত্তিতে আপনার বাবা কিছু অংশ পাবেন এবং বাকি অংশ আপনারা পাবেন। আপনার সৎমা ও সৎভাইবোনেরা আপনার মায়ের সম্পত্ত
prot_0028_02,suspect,,0.4487,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমরা দুই বোন, ভাই নেই। মা-বাবা বেঁচে আছেন। আমার দুই চাচা এবং পাঁচ ফুফু সবাই বেঁচে আছেন। দাদা-দাদি মারা গেছেন। দুই চাচা আ",বাবার উত্তরাধিকারী হিসেবে আপনার মা আপনার বাবার সম্পত্তির ৮ ভাগের ১ ভাগ পাবেন। বাকি সম্পত্তির ৩ ভাগের ২ ভাগ আপনারা দুই বো
prot_0066_02,suspect,,0.4509,english,"1The Contract Act, 1872",Compensation for loss or damage caused by breach of contract,"আমার এক আত্মীয় সরকারি চাকরি করতেন, বর্তমানে পেনশন পাচ্ছেন। আমার কাছ থেকে কয়েক দফায় দুই লাখ ৮৮ হাজার টাকা নেন ভারতে ব্যবস","বাংলাদেশের সঙ্গে ভারতের দ্বৈত নাগরিকত্বের কোনো বিধান নেই। আপনার আত্মীয় যেভাবে অর্থ স্থানান্তর করেছেন, তাতে অনুমেয় যে তিন"
prot_0083_01,suspect,,0.4523,english,"1The Contract Act, 1872",Termination of agency,পরিবারের প্রধান মা-বাবা চার ছেলে ও তিন মেয়ে রেখে মারা যান। পরবর্তী সময়ে বড় ছেলেও মারা যায়। মায়ের নামে ছয় কাঠা জমির ওপর এ,"যেহেতু আমমোক্তারনামাটি মায়ের মৃত্যুর পরপরই বাতিল হয়ে গেছে, সেহেতু ওই জমিতে গৃহশিক্ষকের আইনগত কোনো অধিকার নেই। সুতরাং এ ক"
prot_0051_02,suspect,,0.4539,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমার বয়স যখন তিন বছর, তখন আমার মা আমাকে একাকী রেখে মারা যান। তারপর আমার বাবা দ্বিতীয় বিয়ে করেন। সেই সংসারে পাঁচ মেয়ে ও ত","দ্বিতীয় মায়ের ছোট ছেলের সম্পত্তির কোনো অংশ আপনি পাবেন না। আইন অনুযায়ী, আপন ভাইবোন সেই সম্পত্তির অংশীদার হবে। আপনি ও আপনা"
prot_0077_05,suspect,,0.4631,bengali,"ভোক্তা অধিকার সংরক্ষণ আইন, ২০০৯","অবহেলা, ইত্যাদি দ্বারা সেবা গ্রহীতার অর্থ, স্বাস্থ্য, জীবনহা","চিঠিপত্র, পার্সেল ইত্যাদি যথাস্থানে পৌঁছে দেওয়ার জন্য প্রচুর কুরিয়ার সেবাদানকারী প্রতিষ্ঠান রয়েছে দেশে। যথাসময়ে পৌঁছে দে",আজকাল কুরিয়ার সার্ভিস দেওয়ার জন্য বাংলাদেশে প্রচুর বেসরকারি প্রতিষ্ঠানের জন্ম হয়েছে। কিছু সুপ্রতিষ্ঠিত প্রতিষ্ঠান ছাড়া ব
prot_0062_07,suspect,,0.4641,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বাবা একজন অবসরপ্রাপ্ত সরকারি কর্মকর্তা। বয়স ৭৪ বছর। মা জীবিত নেই। আমরা তিন ভাইবোন। সবাই ভিন্ন ভিন্ন জায়গায় থাকি। আম,"চিঠির তথ্য অনুযায়ী, আপনার বাবার সঙ্গে গৃহকর্মীর বিবাহটি বৈধ। আপনার বাবা এই বৈবাহিক সম্পর্ক বজায় না রাখতে চাইলে মেয়েটিকে "
prot_0011_02,suspect,,0.4677,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমরা দুই ভাই, এক বোন। মা মারা গেছেন ২০০৬ সালে। ২০০৯ সালে আমাদের বাবা দ্বিতীয় বিয়ে করেন একজন বিধবাকে নারীকে। যাঁর আগের প",আপনার বাবার মৃত্যুর পর তাঁর সম্পত্তির আট ভাগের এক ভাগ পাবেন তাঁর জীবিত স্ত্রী। বাকি সম্পত্তি আপনারা দুই ভাই এক বোন পাবে
prot_0015_03,suspect,,0.4699,bengali,"সাইবার সুরক্ষা আইন, ২০২৬","যৌন হয়রানি, ব্ল্যাকমেইলিং বা অশ্লীল বিষয়বস্তু প্রকাশ সংক্রান","আমি যখন স্কুলে পড়ি, তখন আমার পাশের বাড়ির একটি ছেলের সঙ্গে সম্পর্কে জড়িয়ে পড়ি। ছেলেটির সঙ্গে আমার শারীরিক সম্পর্ক হয","ছেলেটির কাছে আপনার সঙ্গে তার সম্পর্কের কী ধরনের প্রমাণ আছে, তা জানা প্রয়োজন। পরবর্তী সম্পর্কে ছেলেটি কী ধরনের ক্ষতি করত"
prot_0084_07,suspect,,0.4707,english,"1The Contract Act, 1872",Compensation for loss or damage caused by breach of contract,আমি এক ব্যক্তিকে হ্যান্ডনোটের মাধ্যমে আট লাখ টাকা ধার দিয়েছিলাম। তিনি ওই টাকা ফেরত না দেওয়ার কারণে আমি তাঁর নামে ৪০৬ ও ৪,কোনো উকিলের দলিলের সাক্ষী হতে আইনগত কোনো বাধা নেই। তবে মামলা পরিচালনাকারী উকিল তাঁর মক্কেলের স্বার্থসংশ্লিষ্ট বিষয়ে সাক্
prot_0038_02,suspect,,0.471,mixed,"The Muslim Family Laws Ordinance, 1961",Polygamy,আমার খালার দুই মেয়ে ও এক ছেলে। সাত বছর আগে খালু আমার খালার অনুমতি ছাড়াই দ্বিতীয় বিয়ে করেন। বিষয়টি সালিসের মাধ্যমে সমাধান,আপনি মহিলাবিষয়ক অধিদপ্তরের অধীন নারী নির্যাতন প্রতিরোধ সেলে অভিযোগ করতে পারেন। এ ছাড়া জাতীয় মহিলা আইনজীবী সমিতি অথবা আইন
prot_0054_01,suspect,,0.4723,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমি মা-বাবার একমাত্র সন্তান। বাবা মারা গেছেন। আমি যে বাড়িতে বসবাস করছি, আমার বাবা ক্রয়সূত্রে সেটির মালিক ছিলেন, যা ২০০১ ","আপনার মায়ের অবর্তমানে আপনার মায়ের সম্পত্তির অংশীদার হবেন আপনার নানা-নানি, আপনার বাবা ও আপনি। এ ক্ষেত্রে আপনার বাবার অংশ "
prot_0059_04,suspect,,0.4741,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমরা তিন ভাই ও এক বোন। আমরা যখন ছোট ছিলাম, আমার বাবা আমাদের বাড়ির এক কাজের মেয়েকে বিয়ে করেছিলেন। ওই পক্ষের একটি পুত্রসন্",উত্তরাধিকারী হিসেবে আপনার বাবার দ্বিতীয় স্ত্রীর পুত্র আপনারা তিন ভাই ও এক বোনের সঙ্গে আপনার বাবার সম্পত্তির অংশীদার। আপন
prot_0076_05,suspect,,0.4758,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমাদের পরিবারে নয়জন সদস্য। নয় বছর আগে আমার বাবা মারা যান। ইতিমধ্যে আমাদের পরিবারের খুবই কষ্টকর অবস্থা, তার মধ্যে আমার ছো",আপনার নানির মৃত্যুর পর আপনার মা উত্তরাধিকার হিসেবে নানির সম্পত্তিতে অংশীদার হবেন। এ ক্ষেত্রে আপনার মা আপনার একজন মামার প
prot_0073_04,suspect,,0.4794,english,"The Specific Relief Act, 1877",Discretion of Court as to declaration of status or right. Ba,"আমি স্নাতক (সম্মান) চতুর্থ বষের শিক্ষার্থী। আমরা তিন ভাই। আমার দুটি নাম। একটি ডাক নাম, অন্যটি সার্টিফিকেট বা জাতীয় পরিচয়",সাধারণত মানুষের নাম তার শিক্ষাগত যোগ্যতার সার্টিফিকেট অনুযায়ী নির্ধারিত হয়ে থাকে। রেজিস্টার্ড দলিলে আপনার ডাক নাম ও সার্
prot_0071_02,suspect,,0.4835,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বাবারা আট ভাইবোন। আমার দাদার স্থাবর-অস্থাবর সব সম্পত্তি তিনি জীবিত থাকাকালে সন্তানদের নামে একই দলিলে (অংশ উল্লেখ না,বাবার উত্তরাধিকারী হিসেবে এজমালি সম্পত্তিতে আপনারাসহ অংশীদার। আপনার বাবার নিজস্ব সম্পত্তিতে আপনারা দুই ভাই এবং আপনার মা 
prot_0012_04,suspect,,0.4906,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বয়স ২২ বছর। আমার বাবা প্রথম পক্ষের স্ত্রীর গর্ভে বাচ্চা থাকা অবস্থায় তাঁকে তালাক দেন। সেটা ১৯৯০ সালে। এখন পর্যন্ত ত,আপনার বাবা জীবিত অবস্থায় তাঁর সম্পত্তি আপনাকে লিখে দিলে সেই সম্পত্তি হবে শুধু আপনার। এই সম্পত্তিতে অন্য কারও অংশ থাকবে ন
ajke_0195_01,suspect,,0.4931,english,"1The Contract Act, 1872",Compensation for loss or damage caused by breach of contract,"প্রশ্ন: আমি একজন গ্রাফিকস ডিজাইনার। অনলাইনে বিভিন্ন ক্লায়েন্টের কাজ করে থাকি। কিন্তু অনেক সময় দেখা যায়, কিছু অসভ্য মা",আপনার জন্য ঠিক হবে কাজের শুরুতে প্রত্যেক ক্লায়েন্টের সঙ্গে একটি চুক্তিপত্র করে নেওয়া। সেখানে কাজ করার আগে ও পরে কীভাবে 
