"qid","annotator","n_words","question_bn","paraphrase","pii_removed","notes"
"ajke_0142_01","Sifat","73","আমার বয়স ১৭ বছর। মা, দুই ভাইসহ আমি একসঙ্গে থাকি। মা-বাবা আলাদা থাকেন সাত বছর ধরে। আমার বাবা কোনোভাবেই আমার মাকে ডিভোর্স দিচ্ছেন না। আমরা বোঝানোর চেষ্টা করেছি। মা আমাদের তিন ভাইবোনের খরচ বহন করেন। তিনি কোনো কিছুই অপূর্ণ রাখেন না। কিন্তু বাবা আমাদের খোঁজ রাখেন না। আমার মা মানসিক ও শারীরিকভাবে অসুস্থ হয়ে পড়ছেন দিন দিন। সন্তান হিসেবে আমরা এমন কোনো আইনি পদক্ষেপ নিতে পারি কি, যাতে আমার মা-বাবার ডিভোর্স হয়ে যায়?","আমি ১৭ বছরের। মা আর আমার দুই ভাইয়ের সঙ্গে থাকি। সাত বছর হলো বাবা-মা আলাদা আছেন। বাবা কিছুতেই মাকে ডিভোর্স দিতে রাজি হচ্ছেন না, আমরা অনেক বুঝিয়েছি। আমাদের তিন ভাইবোনের সব খরচ মা-ই চালান, কোনো কিছুর অভাব রাখেন না। অথচ বাবা আমাদের কোনো খবরই নেন না। দিনকে দিন মায়ের শরীর আর মন দুটোই ভেঙে পড়ছে। ছেলেমেয়ে হিসেবে আমরা কি আইনিভাবে এমন কিছু করতে পারি, যাতে বাবা-মায়ের ডিভোর্সটা হয়ে যায়?","no",""
"ajke_0157_01","Sifat","90","প্রশ্ন: আমি হিন্দুধর্মাবলম্বী একজন বিবাহিত মেয়ে। কিছুদিন আগে আমার বাবা মারা গেছেন। আমার বাবা ব্যাংকে কিছু টাকা রেখে গেছেন, যার নমিনি আমার মা। আমি আমার বাবা-মায়ের একমাত্র সন্তান। আমার দাদু অর্থাৎ বাবার বাবা, মা, ভাই জীবিত আছেন। আমার বাবা মারা যাওয়ার পর আমার কাকা ও দাদু দাবি করছেন, তাঁরা আমার বাবার টাকার ওয়ারিশ; যেহেতু আমি একমাত্র মেয়ে। তাঁরা টাকা দাবি করছেন। তাঁরা ব্যাংককে এ কথা জানিয়েছেন। ব্যাংক থেকে ওয়ারিশান সার্টিফিকেট চাওয়া হচ্ছে। আমার প্রশ্ন, তাঁরা কি হিন্দু আইনমতে এই টাকার ওয়ারিশ হবেন? যেহেতু নমিনি আমার মা এবং তিনি জীবিত আছেন","আমি হিন্দু পরিবারের বিবাহিত মেয়ে। কয়েক দিন আগে বাবা মারা গেছেন। ব্যাংকে বাবার কিছু টাকা আছে, সেখানে নমিনি করা আছে আমার মাকে। বাবা-মায়ের আমি একমাত্র সন্তান। বাবার বাবা মানে আমার দাদু, বাবার মা আর বাবার ভাই এখনো বেঁচে আছেন। বাবা মারা যাওয়ার পর কাকা আর দাদু বলছেন, আমি যেহেতু একটাই মেয়ে, তাই বাবার টাকার ওয়ারিশ তাঁরাও। তাঁরা টাকার ভাগ চাইছেন এবং ব্যাংককেও সেটা জানিয়ে দিয়েছেন। এখন ব্যাংক ওয়ারিশান সার্টিফিকেট চাইছে। আমি জানতে চাই, হিন্দু আইন অনুযায়ী তাঁরা কি এই টাকার ওয়ারিশ হবেন, যখন নমিনি আমার মা এবং তিনি বেঁচে আছেন?","no",""
"ajke_0169_01","Sifat","89","আমি এইচএসসি পরীক্ষার্থী। আমার বাবা-মা প্রায় চার বছর ধরে আলাদা থাকছেন। বাবা একাধিক নারীতে আসক্ত ছিলেন। সে কারণে মাকে মারধর করতেন। শেষমেশ মা বাড়ি ছেড়ে চলে আসেন। এর পর থেকে বাবা আমার খরচ দেওয়া বন্ধ করে দেন। তবে কখনো কখনো পারিবারিক চাপের কারণে কিছু দেন, আবার বন্ধ করে দেন। এখন মাকে ডিভোর্সের নোটিশ পাঠিয়েছেন বাবা। যদি সত্যি তাঁদের ডিভোর্স হয়ে যায়, তাহলে আমার করণীয় কী? আমি কীভাবে আমার ন্যায্য অধিকার পাব? তিনি যথেষ্ট সচ্ছল মানুষ। আমি চাই আমার পড়ালেখা চালিয়ে যাওয়ার মতো খরচটা তিনি দিন। আমাদের কী করা উচিত?","এবার এইচএসসি দেব। প্রায় চার বছর হলো আমার বাবা-মা আলাদা থাকেন। বাবার একাধিক নারীর প্রতি ঝোঁক ছিল, আর সে জন্য তিনি মাকে মারধর করতেন। শেষে মা বাড়ি ছেড়ে চলে আসেন। তারপর থেকে বাবা আমার খরচ দেওয়া বন্ধ করে দিয়েছেন। মাঝেমধ্যে পরিবারের লোকজনের চাপে কিছু টাকা দেন, আবার বন্ধ করে দেন। এখন বাবা মায়ের কাছে ডিভোর্সের নোটিশ পাঠিয়েছেন। সত্যিই যদি ওঁদের ডিভোর্স হয়ে যায়, তখন আমি কী করব? আমার ন্যায্য পাওনা কীভাবে আদায় করব? বাবার টাকাপয়সার অভাব নেই। আমি চাই অন্তত পড়াশোনা চালিয়ে যাওয়ার খরচটা তিনি দিন। এখন আমাদের কী করা দরকার?","no",""
"ajke_0179_02","Sifat","8","আমি ডিভোর্সের জন্য আইনিভাবে এগোতে চাই। করণীয় কী?","আইনের পথে গিয়ে ডিভোর্স নিতে চাই। কী করতে হবে?","no","Short follow-up fragment; the story is in an earlier part of the letter."
"ajke_0194_01","Sifat","35","প্রশ্ন: আমি হিন্দু পরিবারের মানুষ। আমার জেঠিমা মারা গেছেন। জ্যাঠা মারা যাওয়ার আগে জেঠিমার নামে শহরের ও গ্রামের বাড়ির অংশ দানপত্র করে যান। এখন জেঠিমার সম্পত্তির ওয়ারিশ কে হবে? তাঁর দেবরের ছেলে-মেয়ে নাকি তাঁর ভাই?","আমরা হিন্দু। আমার জেঠিমা মারা গেছেন। জ্যাঠা মারা যাওয়ার আগে শহরের বাড়ি আর গ্রামের বাড়ির অংশ জেঠিমার নামে দানপত্র করে দিয়ে গিয়েছিলেন। এখন জেঠিমার এই সম্পত্তি কারা পাবে—তাঁর দেবরের ছেলেমেয়েরা, নাকি তাঁর নিজের ভাই?","no",""
"ajke_0207_01","Sifat","90","আমার বড় বোনের বিয়ে হয়েছে দুই বছর হলো। গত মাসে বোনজামাই বড় অঙ্কের টাকা নিয়ে বিদেশে পালিয়ে গেছেন। বোনের সঙ্গে তিনি কোনো ধরনের যোগাযোগ করছেন না। তাঁকে দেশে ফেরত আনব কীভাবে? বিদেশে যাওয়ার পর তাঁকে কি দেশে ফেরত আনতে পারব? আমাদের এখন কী করণীয়? ঝুমুর, পটিয়া উওর: আপনার বোনজামাই কোন দেশে গেছেন, সেটা যদি জানতে পারেন, তবে সেই দেশের বাংলাদেশ দূতাবাসে অভিযোগ করতে পারবেন। এর আগে অবশ্যই থানায় তাঁর বিরুদ্ধে মামলা করতে হবে। পুলিশ তাঁকে খুঁজে বের করতে পারবে। বাংলাদেশ দূতাবাস ফৌজদারি অপরাধের আসামিকে ফেরত পাঠানোর জন্য পদক্ষেপ নিতে পারে","দুই বছর আগে আমার বড় বোনের বিয়ে হয়েছে। গত মাসে দুলাভাই মোটা অঙ্কের টাকা নিয়ে বিদেশে পালিয়ে গেছেন। বোনের সঙ্গে তিনি কোনো রকম যোগাযোগই রাখছেন না। কীভাবে তাঁকে দেশে ফিরিয়ে আনা যায়? একবার বিদেশে চলে যাওয়ার পর কি আর তাঁকে ফেরত আনা সম্ভব? আমরা এখন কী করব? উত্তর: দুলাভাই কোন দেশে গেছেন জানতে পারলে সে দেশের বাংলাদেশ দূতাবাসে অভিযোগ দিতে পারবেন। তবে তার আগে থানায় তাঁর নামে অবশ্যই মামলা করতে হবে। পুলিশ তাঁকে খুঁজে বের করতে পারবে। ফৌজদারি মামলার আসামিকে দেশে ফেরত পাঠাতে বাংলাদেশ দূতাবাস ব্যবস্থা নিতে পারে।","yes","Removed signature (name, place). The columnist's reply is glued after the question; kept it after 'উত্তর:' so it can be cut."
"lawy_0219_01","Sifat","10","জমি কিনেছেন দাগে দাগে কিন্তু ভোগদখল একদাগে- আইনি সমাধান কী?","বিভিন্ন দাগে জমি কিনেছেন, অথচ দখলে আছেন শুধু একটা দাগে—এর আইনি সমাধান কী?","no","Headline-style (article title), not a personal letter."
"lawy_0258_01","Sifat","11","ভূমি অপরাধ প্রতিরোধ ও প্রতিকার আইনানুযায়ী ভূমি রেজিস্ট্রেশনে জটিলতা আছে কিনা?","ভূমি অপরাধ প্রতিরোধ ও প্রতিকার আইন অনুসারে জমি রেজিস্ট্রি করাতে গেলে কোনো জটিলতা হয় কি?","no","Headline-style (article title); the Act's name is kept as is."
"lawy_0380_01","Sifat","9","জমির দলিলে ভুল হলে সেই দলিল সংশোধনের উপায় কী?","জমির দলিলে কোনো ভুল থাকলে কীভাবে সেটা ঠিক করানো যায়?","no","Headline-style (article title)."
"lawy_0588_01","Sifat","8","মামলা দায়েরের পর প্রত্যাহার করার সুযোগ আছে কি?","একবার মামলা করে ফেলার পর কি সেটা তুলে নেওয়া যায়?","no","Headline-style (article title)."
