qid,question,positive_chunk_id,provision_id,act_id,domain,lang_tag,provision_title_bn,provision_no_ascii,provision_text_preview,label_source,curation_status,review_status,reviewer,review_notes,selection_round,content_overlap,jaccard
silver_syn_1265f39a0b57,কার কাছে থাকবে সংক্রান্ত বিশেষ বিধান ক্ষেত্রে আমার কী করা উচিত?,civil_registration_1030_s25,civil_registration_1030_s25,civil_registration_1030,civil_registration,bengali,হেফাজত সংক্রান্ত বিশেষ বিধান,25,"গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধানের অনুচ্ছেদ ৯৩ (২) এর বিধান অনুসারে মেয়াদ উত্তীর্ণের কারণে কার্যকরতা লোপ পাওয়া জাতীয় পরিচয় নিবন্ধন কর্তৃপক্ষ অধ্যাদেশ, ২০০৮ (২০০৮ সনের ১৮ নং অধ্যাদেশ) এর কার্যকরতাকালে উহার অধীন বা অনুরূপ কার্যকরতা লোপ পাইবার পর উহার ধারাবাহিকতায় বা বিবেচিত ধারাবাহিকতায় জাতীয় পরিচয় নিবন্ধন কর্তৃপক্ষ কর্তৃক প্রদত্ত আদেশ, কৃত কাজকর্ম, গৃহীত ব্যবস্থা এবং কমিশন কর্তৃক সংগৃহীত তথ্য-উপাত্ত নাগরিক বরাবরে প্রদত্ত ও বিতরণকৃত জাতীয় পরিচয়পত্র, ইত্যাদি এই আইনের অধীন প্রদত্ত আদেশ, কৃত কাজকর্ম, গৃহীত ব্যবস্থা, সংগৃহীত তথ্য-উপাত্ত, প্রদত্ত ও বিতরণকৃত জাতীয় পরিচয়পত্র বলিয়া গণ্য হইবে।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.375,0.0441
silver_syn_d87f7d231c73,পরিচয় নাম লেখানো ক্ষেত্রে আমার কী করা উচিত?,civil_registration_1030_s3,civil_registration_1030_s3,civil_registration_1030,civil_registration,bengali,পরিচয় নিবন্ধন,3,"(১) জাতীয় পরিচয়পত্র প্রাপ্তির জন্য একজন নাগরিককে পরিচয় নিবন্ধন করিতে হইবে।(২) পরিচয় নিবন্ধনের জন্য নির্ধারিত পদ্ধতিতে কমিশনের নিকট আবেদন করিতে হইবে।(৩) এই আইনের অন্যান্য ধারায় যাহা কিছুই থাকুক না কেন, সাধারণভাবে কোন নাগরিককে জাতীয় পরিচয়পত্র প্রদানের উদ্দেশ্যে তাহার স্থায়ী বা অস্থায়ীভাবে বসবাসরত ঠিকানায় নিবন্ধন করা হইবে এবং উক্ত ঠিকানা অনুযায়ী জাতীয় পরিচিতি নম্বর প্রদান করিতে হইবে।(৪) উপ-ধারা (৩) এ যাহা কিছুই থাকুক না কেন, কোন নাগরিক ইচ্ছা প্রকাশ করিলে তাহাকে যে ঠিকানায় ভোটার হিসাবে তালিকাভুক্ত করা হইয়াছে উক্ত স্থানেই তাহাকে জাতীয় পরিচয়পত্র প্রদানের উদ্দেশ্যে নিবন্ধন করা যাইবে এবং উক্ত ঠিকানা অ",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.2,0.029
silver_syn_dd74cbaba76a,"নিজমি বা বাড়ি জামানত রাখাকে বিভিন্ন সংস্থার সহযোগিতা প্রদান সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",civil_registration_1458_s13,civil_registration_1458_s13,civil_registration_1458,civil_registration,bengali,নিবন্ধককে বিভিন্ন সংস্থার সহযোগিতা প্রদান,13,"এই আইনের উদ্দেশ্য পূরণকল্পে, নিবন্ধকের চাহিদা অনুযায়ী যে কোনো ব্যক্তি, প্রতিষ্ঠান বা সংস্থা উহাদের নিকট সংরক্ষিত তথ্য-উপাত্ত, ইত্যাদি নিবন্ধককে প্রদান করিতে বাধ্য থাকিবে এবং নিবন্ধকের দায়িত্ব পালনে নিবন্ধককে প্রয়োজনীয় সহযোগিতা প্রদান করিবে।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.3333,0.1163
silver_syn_f0243366de8d,আদালতের ডাক্বয় কমিটি নিয়ে আইনে কী বলা আছে?,civil_registration_1458_s17,civil_registration_1458_s17,civil_registration_1458,civil_registration,bengali,সমন্বয় কমিটি,17,"(১) এই আইনের উদ্দেশ্য পূরণকল্পে, নিবন্ধন কার্যক্রম সুষ্ঠুভাবে পরিচালনা, সমন্বয় ও পরিবীক্ষণের লক্ষ্যে একটি সমন্বয় কমিটি থাকিবে এবং উহা নিম্নরূপ সদস্য সমন্বয়ে গঠিত হইবে, যথা:-(ক) সচিব, সুরক্ষা সেবা বিভাগ, যিনি উহার সভাপতিও হইবেন;(খ) মন্ত্রিপরিষদ বিভাগ কর্তৃক মনোনীত অন্যূন যুগ্মসচিব পদমর্যাদার ১ (এক) জন প্রতিনিধি;(গ) প্রধানমন্ত্রীর কার্যালয় কর্তৃক মনোনীত অন্যূন পরিচালক পদমর্যাদার ১ (এক) জন প্রতিনিধি;(ঘ) জনপ্রশাসন মন্ত্রণালয় কর্তৃক মনোনীত অন্যূন যুগ্মসচিব পদমর্যাদার ১ (এক) জন প্রতিনিধি;(ঙ) অর্থ বিভাগ কর্তৃক মনোনীত অন্যূন যুগ্মসচিব পদমর্যাদার ১ (এক) জন প্রতিনিধি;(চ) স্থানীয় সরকার বিভাগ কর্তৃক মনোনী",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.2,0.0097
silver_syn_fb0bcf953b2a,"মিথ্যা তথ্য প্রদানের জন্য শাস্তি সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",civil_registration_1458_s18,civil_registration_1458_s18,civil_registration_1458,civil_registration,bengali,মিথ্যা তথ্য প্রদানের জন্য দণ্ড,18,কোনো নাগরিক জাতীয় পরিচয়পত্র প্রাপ্তির লক্ষ্যে উদ্দেশ্য প্রণোদিতভাবে বা জ্ঞাতসারে কোনো মিথ্যা বা বিবৃত তথ্য প্রদান বা তথ্য গোপন করিলে তিনি এই আইনের অধীন অপরাধ করিয়াছেন বলিয়া গণ্য হইবে এবং উক্তরূপ অপরাধের জন্য তিনি অনূর্ধ্ব ১ (এক) বৎসর কারাদণ্ড বা অনধিক ২০ (বিশ) হাজার টাকা অর্থদণ্ড বা উভয় দণ্ডে দণ্ডিত হইবেন।,provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.375,0.0741
silver_syn_d3752fa18660,দায়িত্বে অবহেলার শাস্তি বিষয়ে নিয়ম কী?,civil_registration_1458_s25,civil_registration_1458_s25,civil_registration_1458,civil_registration,bengali,দায়িত্বে অবহেলার দণ্ড,25,"(১) নিবন্ধন কার্যক্রম সংশ্লিষ্ট কোনো কর্মচারী অথবা এই আইন দ্বারা বা ইহার অধীন জাতীয় পরিচয় নিবন্ধন কার্যক্রম পরিচালনা, জাতীয় পরিচয়পত্র প্রস্তুতকরণ, বিতরণ ও রক্ষণাবেক্ষণ সংক্রান্ত কোনো দায়িত্ব পালনরত কোনো ব্যক্তি, যুক্তিসংগত কারণ ব্যতিরেকে, দায়িত্বে অবহেলা করিলে উহা তাহার অদক্ষতা ও অসদাচরণ বলিয়া গণ্য হইবে।(২) উপধারা (১) এর অধীন কোনো কর্মচারীর বিরুদ্ধে অদক্ষতা ও অসদাচরণ প্রমাণিত হইলে, তাহার বিরুদ্ধে দায়িত্বে অবহেলার জন্য প্রচলিত বিধি-বিধান অনুযায়ী ব্যবস্থা গ্রহণ করা যাইবে।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.5,0.0328
silver_syn_eb8b896352c0,"অপরাধের আমলযোগ্যতা, অ-আপোষযোগ্যতা ও ছাড়া পাওয়াযোগ্যতা বিষয়ে কোন আইন প্রযোজ্য হবে?",civil_registration_1458_s27,civil_registration_1458_s27,civil_registration_1458,civil_registration,bengali,"অপরাধের আমলযোগ্যতা, অ-আপোষযোগ্যতা ও জামিনযোগ্যতা",27,"(১) এই আইনের অধীন সংঘটিত সকল অপরাধ আমলযোগ্য (cognizable) ও অ-আপোষযোগ্য (non-compoundable) হইবে।(২) এই আইনের ধারা ১৮, ১৯, ২০ এর উপধারা (২) এবং ধারা ২৪ এর অধীন সংঘটিত অপরাধসমূহ জামিনযোগ্য (bailable) হইবে এবং ধারা ২০ এর উপধারা (১), ধারা ২১, ২২ এবং ধারা ২৩ এর অধীন সংঘটিত অপরাধসমূহ অ-জামিনযোগ্য (non-bailable) হইবে।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.5,0.119
silver_syn_fb2fb96ac635,পরিচয় কাগজ করা ক্ষেত্রে আমার কী করা উচিত?,civil_registration_1458_s3,civil_registration_1458_s3,civil_registration_1458,civil_registration,bengali,"পরিচয় নিবন্ধন, ইত্যাদি",3,"(১) জাতীয় পরিচয়পত্র প্রাপ্তির জন্য প্রত্যেক নাগরিককে পরিচয় নিবন্ধন করিতে হইবে।(২) পরিচয় নিবন্ধনের জন্য নির্ধারিত পদ্ধতিতে নিবন্ধকের নিকট আবেদন করিতে হইবে।(৩) এই আইনের অন্যান্য বিধানে যাহা কিছুই থাকুক না কেন, সাধারণভাবে কোনো নাগরিককে জাতীয় পরিচয়পত্র প্রদানের উদ্দেশ্যে তাহার স্থায়ী বা অস্থায়ীভাবে বসবাসরত ঠিকানায় নিবন্ধন করা হইবে এবং উক্ত ঠিকানা অনুযায়ী জাতীয় পরিচিতি নম্বর প্রদান করিতে হইবে।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.25,0.0377
silver_syn_a1b7fb42b64f,"নিজমি বা বাড়ি জামানত রাখা সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",civil_registration_1458_s6,civil_registration_1458_s6,civil_registration_1458,civil_registration,bengali,"নিবন্ধক, ইত্যাদি",6,(১) এই আইনের উদ্দেশ্য পূরণকল্পে একজন নিবন্ধক থাকিবে।(২) নিবন্ধক সরকার কর্তৃক নিযুক্ত হইবে এবং তাহার চাকুরির শর্তাদি সরকার কর্তৃক স্থিরীকৃত হইবে।(৩) নিবন্ধকের প্রধান কার্যালয় ঢাকায় থাকিবে।,provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.0,0.0
silver_syn_6d686ff99b36,"সাদৃশ্যপূর্ণ বা ধোঁকা দেওয়ামূলকভাবে সাদৃশ্যপূর্ণ ট্রেডমার্ক কাগজ করাে বাধা-নিষেধ সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",consumer_1010_s10_p1,consumer_1010_s10,consumer_1010,consumer,bengali,সাদৃশ্যপূর্ণ বা প্রতারণামূলকভাবে সাদৃশ্যপূর্ণ ট্রেডমার্ক নিবন্ধনে বাধা-নিষেধ,10,"বিভ্রান্তিমূলকভাবে সাদৃশ্যপূর্ণ (confusingly similar) বা অনুরূপ কোন মার্ক (mark) বা ট্রেড বর্ণনা (trade description) এর অনুবাদ সহযোগে গঠিত ট্রেডমার্ক, অন্য যে কোন পণ্য বা সেবার জন্য নিবন্ধন করা যাইবে না, যদি,-](ক) উক্তরূপ কোন ট্রেডমার্ক এমনভাবে ব্যবহার করা হয়, যাহা দ্বারা নিবন্ধিত স্বত্বাধিকারীর সহিত উক্ত কোন পণ্য বা সেবার সম্পর্ক আছে মর্মে ভুল ধারণার সৃষ্টি করিতে পারে; বা(খ) উক্তরূপ ব্যবহারের ফলে নিবন্ধিত ট্রেডমার্কের স্বার্থ ক্ষুণ্ন হইবার আশংকা থাকে।(৬) উপ-ধারা (৪) ও (৫) এ বর্ণিত কোন মার্ক সুপরিচিত কিনা উহা নির্ধারণের ক্ষেত্রে, বাংলাদেশে উক্ত মার্কের বিজ্ঞাপন প্রচারের মাধ্যমে প্রাপ্ত ফলাফলস",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.3333,0.0294
