metric,value
pairs,29716
distinct_questions,12004
distinct_provisions,13401
tier_tier_a,8132
tier_tier_a_expansion,5440
tier_tier_b,4291
tier_tier_c,11853
lang_bengali,17481
lang_english,12235
domain_other,17634
domain_family,3020
domain_criminal_procedure,1764
domain_women_children,1545
domain_labour,1361
domain_land,1052
domain_money_recovery,755
domain_consumer,755
domain_cybercrime,525
domain_local_government,384
domain_tenancy,374
domain_civil_registration,238
domain_constitutional,211
domain_road_transport,98
anchored:account_hacking_fraud,13
anchored:acid_attack,7
anchored:adulterated_food,9
anchored:arrest_bail,11
anchored:birth_death_certificate,7
anchored:cheque_dishonour,6
anchored:child_custody,7
anchored:child_marriage,7
anchored:defective_goods_overcharge,12
anchored:divorce_talaq_procedure,8
anchored:domestic_violence,11
anchored:dower_denmohor,3
anchored:dowry_demand,7
anchored:fir_police_complaint,7
anchored:fundamental_rights,10
anchored:house_rent_tenant,23
anchored:inheritance_share,9
anchored:land_acquisition_govt,12
anchored:land_dispossession_encroach,17
anchored:land_mutation_khatian,11
anchored:land_partition_joint,6
anchored:land_registration_deed,15
anchored:loan_default_recovery,21
anchored:maintenance_khorposh,3
anchored:marriage_registration,11
anchored:maternity_leave,7
anchored:online_defamation_harassment,7
anchored:private_loan_dispute,25
anchored:road_accident,0
anchored:sexual_harassment_assault,6
anchored:theft_cheating_offence,22
anchored:unpaid_wages_overtime,8
anchored:village_family_court,14
anchored:will_probate,7
anchored:workplace_injury,10
anchored:wrongful_termination,8
cores_rendered,469
discarded_register_leak,4
generated:tier_b,7436
generated:tier_c,36704
positive_selection:fallback,888
positive_selection:intent,984
positives_emitted,8132
questions_rendered,1876
skipped_already_tier_a,3918
skipped_empty_after_rewrite,4
skipped_no_title,2743
skipped_not_askable,10749
topics_without_anchors,1
overlap_n,29716
overlap_mean,0.2363
overlap_p10,0.0
overlap_p25,0.0208
overlap_median,0.25
overlap_p75,0.5
overlap_p90,0.5
overlap_frac_over_0.3,0.475
overlap_frac_over_0.5,0.0
